GeneID	GSM3182508	GSM3182509	GSM3182510	GSM3182511	GSM3182512	GSM3182513	GSM3182514	GSM3182515	GSM3182516	GSM3182517	GSM3182518
100287102	0.03976	0.01516	0.01445	0.04302	0.0137	0.02926	0.02749	0.05704	0	0	0
653635	21.9	23.71	22.45	22.61	20.45	20.93	21.13	22.45	7.51	8.438	7.89
102466751	38.64	40.51	38.6	31.01	31.63	39.45	32.39	41.57	7.727	4.587	3.782
107985730	0.407	0.3724	0.3992	0.3963	0.1262	0.1348	0.1266	0.1751	0	0.04141	0
100302278	0.476	0.3629	0.5188	0.6867	0.164	0.1751	0.3291	0.1707	0	0	0.1694
645520	0.01938	0	0	0.02097	0.02003	0.02139	0	0.04169	0.06642	0.03943	0.02069
79501	0	0	0	0	0	0	0	0	0	0	0
100996442	0.1477	0.2558	0.156	0.213	0.1989	0.3111	0.2134	0.2358	0.4805	0.2504	0.3105
729737	2.932	3.751	3.701	3.501	3.722	4.336	3.974	4.531	5.933	4.587	4.545
102725121	0.0545	0.01558	0.04455	0	0.01409	0.03008	0.04239	0.08795	0	0.01386	0
102723897	25.08	28.11	26.81	28.43	26.34	25.65	25.66	28.54	9.235	9.703	9.533
102465909	32.85	35.35	36.5	33.79	26.3	30.21	29.72	25.29	5.519	3.604	3.782
107985721	0.2185	0.3146	0.291	0.2977	0.1589	0.1786	0.1511	0.1219	0.02774	0.0494	0.03456
112268260	0.03986	0.07596	0.04344	0.07546	0.04464	0.04033	0.05511	0.06431	0.02277	0.01014	0.02128
729759	0	0	0	0.02523	0.02411	0	0	0	0	0	0
100132287	6.835	8.292	7.869	7.248	5.393	6.366	6.204	6.953	4.935	4.216	4.146
105378947	0.04673	0.04275	0.02037	0.03033	0.02899	0.03095	0.03877	0.04021	0.01068	0.02852	0
101928626	0	0.03138	0	0	0.02837	0	0	0	0	0	0
113219467	81.11	96.29	71.59	122.5	55.8	120.5	78.68	127.7	184.3	87.23	99.12
81399	0.06819	0.05199	0.04542	0.08198	0.02742	0.05436	0.03536	0.05298	0.0303	0.04625	0.02832
100133331	4.699	5.415	5.619	4.896	3.915	4.322	4.368	4.664	4.239	3.796	3.967
107984841	3.382	4.787	4.355	3.505	3.374	3.941	2.771	3.561	2.486	2.31	2.474
107984847	18.74	22.15	15.75	20.27	14.47	15.6	16.34	17.97	10.06	9.508	9.931
107984849	9.228	9.838	8.353	9.307	8.893	12.43	9.813	10.35	9.829	7.24	5.177
100288069	4.376	4.018	3.934	4.7	2.691	3.843	3.544	4.57	2.555	2.275	2.353
105378580	0.1833	0.3363	0.274	0.2628	0.119	0.2211	0.1812	0.2292	0.1266	0.05637	0.09556
400728	0.1915	0.3607	0.1596	0.1706	0.2212	0.2114	0.1168	0.2666	0.02574	0.02292	0.1203
79854	1.164	0.9887	1.142	1.061	0.825	0.991	0.7414	0.8943	0.6459	0.6428	0.7279
643837	5.436	5.319	5.126	4.962	2.643	2.414	2.617	2.365	0.859	0.8807	0.98
107984850	0.1071	0.1429	0.05835	0.07723	0.01845	0.02955	0.02776	0.0384	0.0102	0	0.009528
284593	0.05134	0.08807	0.08393	0.04166	0.03981	0	0	0.02761	0.01467	0.01306	0
284600	3.099	2.778	2.808	3.451	1.502	1.447	1.895	2.174	0.1297	0.1732	0.206
100130417	1.628	1.779	1.807	1.636	6.193	4.879	7.66	8.149	0.04984	0.05917	0.07762
107985728	1.429	1.868	1.905	1.371	7.929	6.875	11.01	12.57	0.02059	0.04888	0.03848
148398	4.564	5.063	4.751	4.716	9.331	9.103	14.12	13.13	5.567	5.559	5.038
26155	31.3	32.11	32.62	30.26	34.44	33.52	33.98	33.78	59.59	59.07	58.89
339451	23.34	24.97	23.99	25.26	20.01	20.87	20.2	21.59	10.57	8.94	9.197
84069	0.2242	0.3564	0.3039	0.2839	0.26	0.2897	0.2608	0.247	0.5747	0.5006	0.4437
84808	0.04846	0.06234	0.05281	0.118	0.06262	0.1003	0.06282	0.07168	0.1246	0.08011	0.07114
57801	69.01	70.72	84.02	67.44	107.8	96.15	121	119.3	1.238	1.508	1.632
9636	4.228	4.796	4.271	4.128	18.66	16.01	14.4	13.98	16.89	17.45	18.98
375790	119.8	130.3	147.9	128	191.1	191.4	184.8	181.4	67.35	72.36	71.87
100288175	0.4496	0.5656	0.441	0.2919	0.9297	0.9182	1.096	1.016	0.2826	0.4575	0.5281
112267874	0.2511	0.2594	0.2384	0.2805	0.402	0.4113	0.4201	0.4009	0.1203	0.06594	0.0692
105378948	0.5699	0.6603	0.4659	0.4787	0.9536	0.7284	0.8321	0.9035	0.2228	0.2594	0.2642
401934	0.01152	0.03954	0.05024	0.02494	0.05957	0.1018	0.08366	0.06199	0	0	0
54991	10.37	11.23	11.68	10.19	11.01	11.6	11.68	11.97	4.959	5.056	5.393
254099	0.02703	0	0	0	0	0	0	0	0.1081	0.01375	0.05773
406984	0.461	0.2636	0.2512	0.2494	0	0	0.4781	0.248	2.107	2.111	1.969
406983	0	0	0	0	0	0	0	0	0.556	0.2475	0
554210	0.2638	0	0	0	0	0	0.2736	0.2838	1.809	1.61	2.817
100506376	0.2832	0.1859	0.1429	0.2439	0.3524	0.2894	0.2284	0.282	0.1917	0.112	0.1792
254173	0.4333	0.4139	0.3333	0.4798	0.411	0.557	0.4334	0.4606	0.431	0.2022	0.2667
